,budget,config_batch_size,config_momentum,config_hidden_size,config_lerning_rate,config_weight_decay,sample_loss,sample_acc
budget,1.0,-0.02242656161502932,-0.11462258886809426,0.024524745744106617,-0.05102160501240426,-0.0255004978688252,-0.01623808807602963,0.2459844937844465
config_batch_size,-0.02242656161502932,1.0,0.028813997487744113,0.027117415089659442,-0.060264243953856794,0.0040831836428078,-0.03181561879340979,-0.026623838046114023
config_momentum,-0.11462258886809426,0.028813997487744113,1.0,-0.09767381902465497,0.126342433128942,-0.09029069196309397,0.13650124319887133,-0.3157232796410829
config_hidden_size,0.024524745744106617,0.027117415089659442,-0.09767381902465497,1.0,-0.08514567584263906,0.25041086553515357,0.02598794459826928,0.34964611369925896
config_lerning_rate,-0.05102160501240426,-0.060264243953856794,0.126342433128942,-0.08514567584263906,1.0,-0.16257421655765206,0.10533711489190505,-0.5025392541816247
config_weight_decay,-0.0255004978688252,0.0040831836428078,-0.09029069196309397,0.25041086553515357,-0.16257421655765206,1.0,0.05489839996959769,0.26468808861312665
sample_loss,-0.01623808807602963,-0.03181561879340979,0.13650124319887133,0.02598794459826928,0.10533711489190505,0.05489839996959769,1.0,0.007773819088342416
sample_acc,0.2459844937844465,-0.026623838046114023,-0.3157232796410829,0.34964611369925896,-0.5025392541816247,0.26468808861312665,0.007773819088342416,1.0
