bracket,round,trial,budget,sample_type,config_batch_size,config_optimizer,config_momentum,config_hidden_size,config_scheduler_p,config_lerning_rate,config_activation,config_weight_decay,sample_loss,sample_acc,x,y
5,0,67,1,random,16,sgd,0.7893675133,64,True,0.01408372716,lrelu,0.0003519825642,,0.0781,-5.585019,-9.951813
5,0,68,1,random,16,rms,0.5370303501,32,True,0.0002630999393,relu,0.0004291605375,0.6453993917,0.7734,13.659317,-6.3620095
5,0,69,1,random,32,sgd,0.1085863909,64,False,0.02242647095,relu,0.0007392956631,2.301710606,0.1094,-14.454707,10.326791
5,0,70,1,random,16,rms,0.501821423,64,False,0.02686720681,tanh,0.0,2.822702885,0.1094,-6.3176036,-1.9298891
5,0,71,1,random,8,sgd,0.3597610033,64,True,0.001544505721,tanh,0.0006849531791,1.812416315,0.6484,-10.522399,-12.469874
5,0,72,1,random,16,adam,0.0,64,False,0.03268456014,lrelu,0.0,4.294091702,0.375,-6.0483875,-7.8286157
5,0,73,1,random,8,rms,0.0780090568,16,True,0.02126019908,lrelu,0.0009792076627,3.401688099,0.1797,9.368856,-12.372064
5,0,74,1,random,8,adam,0.0,16,False,0.0004407859759,relu,0.0,1.757328272,0.4062,12.800448,2.0567384
5,0,75,1,random,16,adam,0.0,64,True,0.01068559354,lrelu,0.0002544411477,1.187636852,0.6484,-7.172663,-8.870558
5,0,76,1,random,8,adam,0.0,64,False,0.001852675045,relu,0.0,0.5709784627,0.8516,-9.9056635,-7.2252784
5,0,77,1,random,32,adam,0.0,64,True,0.002080294283,lrelu,0.0,0.6346232891,0.8359,-10.830713,6.5245433
5,0,78,1,random,16,rms,0.7351680593,64,True,0.08324720776,tanh,0.0,11.16338158,0.0938,-1.6213595,2.1929548
5,0,79,1,random,16,adam,0.0,64,False,0.06658710188,lrelu,0.0,7.606127739,0.4453,-0.72925895,2.366918
5,0,80,1,random,32,adam,0.0,32,False,0.03156958833,relu,0.0,2.305236816,0.1172,7.2361016,15.053477
5,0,81,1,random,8,rms,0.101995977,64,True,0.002728987592,lrelu,0.0006022826755,0.615180552,0.8438,-14.966224,-14.11275
5,0,82,1,random,32,adam,0.0,16,False,0.0001313788624,lrelu,0.0009455839445,2.437565565,0.1562,-1.7075844,16.477781
5,0,83,1,random,8,rms,0.5790985189,16,True,0.007268074841,relu,0.0006639404532,2.311140537,0.0625,8.000224,-9.3053
5,0,84,1,random,16,adam,0.0,32,False,0.01189711215,lrelu,0.0,1.337990403,0.5234,10.8985195,5.5971603
5,0,85,1,random,32,adam,0.0,16,True,0.01585284081,relu,0.0,2.310481548,0.0625,5.956229,15.28564
5,0,86,1,random,16,sgd,0.7554458691,32,True,0.001754033353,lrelu,0.0,1.525859952,0.5391,7.5533495,-4.310185
5,0,87,1,random,8,rms,0.4517942099,16,False,0.007905684478,relu,0.0,2.310929775,0.0625,15.359567,-4.4430227
5,0,88,1,random,8,adam,0.0,16,False,0.0006834415697,relu,0.0001844357442,1.554634452,0.4766,12.876985,1.4699118
5,0,89,1,random,32,adam,0.0,16,False,0.05877813486,lrelu,0.0005651829513,6.975375652,0.1641,20.61338,3.3425539
5,0,90,1,random,8,sgd,0.3113464963,32,False,0.001619735955,lrelu,0.0005127042974,1.011407018,0.6719,5.9587464,-10.638367
5,0,91,1,random,16,rms,0.8688648389,64,True,0.001908224067,lrelu,0.0005688868181,3.494686127,0.5859,-15.070888,-14.735961
5,0,92,1,random,16,sgd,0.8508259092,32,True,0.0002838832308,relu,0.0003185515344,0.7692041993,0.7109,10.738952,-2.9450455
5,0,93,1,random,32,sgd,0.8570221404,64,True,0.055964789,tanh,0.0,2.517443419,0.0859,-3.3889463,4.3731046
5,0,94,1,random,32,adam,0.0,64,False,0.008047441231,lrelu,0.0,1.097235203,0.7109,-10.820005,6.5224447
5,0,95,1,random,32,rms,0.3021294911,64,False,0.003113668984,relu,0.00027214407,1.796357155,0.3281,-10.218322,10.261437
5,0,96,1,random,8,adam,0.0,32,False,0.001152389792,tanh,0.0,1.480376005,0.5234,8.9891205,3.4122272
5,0,97,1,random,8,rms,0.4879433263,32,True,0.0001024601585,tanh,0.0003803535476,1.7283324,0.5312,13.006871,-10.198788
5,0,98,1,random,32,rms,0.5876636802,32,False,0.003618745625,relu,0.0002625148824,2.246687174,0.125,1.6757032,17.066456
5,0,99,1,random,8,sgd,0.08037702678,32,False,0.0005615521145,tanh,0.0,2.060969591,0.3281,8.66719,-1.1695908
5,0,100,1,random,8,adam,0.0,64,True,0.003361490103,relu,0.0007516415139,0.7870941162,0.7578,-13.290582,-9.547556
5,0,101,1,random,32,rms,0.4846506328,32,True,0.003618344389,lrelu,0.0001801709761,1.316286564,0.5312,-0.10603731,12.961844
5,0,102,1,random,8,sgd,0.2434800989,16,True,0.0006942384553,relu,0.0002195483805,1.75273478,0.3125,12.349326,-2.4455864
5,0,103,1,random,16,adam,0.0,32,False,0.0007161602559,tanh,0.0,1.552207112,0.5703,8.65452,4.284773
5,0,104,1,random,16,rms,0.5538227868,16,False,0.0003879538035,lrelu,0.0001240130036,1.59115088,0.5,10.703709,-6.3484883
5,0,105,1,random,8,sgd,0.6364885935,32,False,0.003764995534,tanh,0.0,2.080010653,0.2578,8.751673,-1.1467125
5,0,106,1,random,8,adam,0.0,64,True,0.004336236213,tanh,0.0,1.403742075,0.5312,-9.574272,-0.8405225
5,0,107,1,random,32,rms,0.6415592028,16,True,0.005040262396,relu,0.0,2.312981844,0.0625,3.1603818,17.02116
5,0,108,1,random,16,sgd,0.9813796498,32,False,0.003201229378,relu,4.83e-05,2.317305326,0.0625,11.16019,-2.2731824
5,0,109,1,random,8,adam,0.0,16,True,0.004442581949,tanh,0.0,2.12625432,0.2109,8.496888,2.8371997
5,0,110,1,random,16,sgd,0.7101656934,32,False,0.05406791487,lrelu,0.0,,0.0781,19.70939,0.71663874
5,0,111,1,random,16,adam,0.0,16,False,0.0001193871113,relu,0.0,2.337925673,0.2031,11.8819275,2.2666583
5,0,112,1,random,16,rms,0.5571089972,64,False,0.0009289094296,tanh,0.000482919017,1.598863244,0.4062,-11.255984,-3.0959759
5,0,113,1,random,32,adam,0.0,32,True,0.00425581112,relu,0.0,1.682164192,0.3438,4.9798293,15.349722
5,0,114,1,random,32,sgd,0.6828117631,64,False,0.0411053588,tanh,0.0002388413044,2.057607889,0.1953,-4.0466475,4.777599
5,0,115,1,random,8,sgd,0.9685623517,32,True,0.001308257498,lrelu,0.0008946191874,1.995810866,0.3125,5.6707025,-11.46852
5,0,116,1,random,32,sgd,0.6576189071,32,True,0.02314632857,tanh,0.0,2.101029873,0.2812,5.7281804,12.965247
5,0,117,1,random,32,rms,0.9623010178,64,True,0.02950668923,relu,0.0002510635032,6.056006908,0.1172,-8.649314,11.133699
5,0,118,1,random,32,sgd,0.9838380753,64,True,0.0008878869212,lrelu,0.0003595762344,2.681301832,0.4141,-6.016332,7.5264196
5,0,119,1,random,8,adam,0.0,16,False,0.003587839493,lrelu,0.0009013382254,1.444907904,0.5156,6.99261,-13.018808
5,0,120,1,random,8,rms,0.003814652123,64,True,0.001805111425,relu,0.0008367354422,0.8368419409,0.7734,-16.487692,-10.341852
